Gene,Mean_GBM,Mean_Other,Diff_Score,T_Stat,P_Value,FDR,Cohen_D,Std_GBM,Std_Other,Rank_Selectivity
DND1,-0.04664877543073119,-0.06904497692439193,0.022396201493660742,1.413270337306885,0.16129681928602815,0.3866078420823113,0.13812134003923934,0.12368230835070429,0.16433722356352906,14316
ACSM3,0.03142645368558321,0.0090196624821589,0.022406791203424307,1.3646905241562146,0.17651800232193418,0.4068831854524491,0.19821572937015397,0.13232474652142887,0.1116742269481626,14317
FLOT2,-0.1419549345937281,-0.16436820008399702,0.022413265490268924,1.4727541104387671,0.14491398775365297,0.3639289515981445,0.1801338187397691,0.1213501375607257,0.12462287538691652,14318
PARVG,0.2003736482936188,0.17795865936574046,0.022414988927878354,1.8673038431672189,0.06567210325820311,0.22597706457932065,0.22596875911880215,0.09564048883513472,0.09942167809320158,14319
MFSD6L,0.03301263845376073,0.010588872436101055,0.02242376601765967,1.7854384146599955,0.0780629145554666,0.25193788576306697,0.20396166812248212,0.09960045826360396,0.11057961304258797,14320
ENDOU,-0.02794675944370248,-0.05037084056479104,0.02242408112108856,1.9439317820839652,0.055540457806444524,0.20345167495962344,0.2304188956943719,0.09176021407533261,0.09766903781532872,14321
PPP1R14B,-0.5225345547714045,-0.5449799615964287,0.02244540682502416,0.9417050673448017,0.3492786011926394,0.5961841597320531,0.11199035426267402,0.18964710039657767,0.2011029559770138,14322
ENAM,0.07833430651564191,0.055888326471671246,0.022445980043970665,2.0557595529209447,0.04307303939260324,0.17397724710551596,0.2223172714272357,0.08615747386088161,0.10185146177062335,14323
PNKD,-0.047513708543715776,-0.06996861541052993,0.022454906866814152,1.7914842046604351,0.07712887374780512,0.25063022194354306,0.21266227202002017,0.09971712350338865,0.10595987705443567,14324
C9orf85,-0.049631318395219184,-0.07209000366862305,0.02245868527340386,1.6788228642990015,0.09703294641238319,0.2876339497636705,0.17441626782505798,0.10513414634660871,0.1301521231376811,14325
UTS2,0.05485036162410126,0.0323912459958782,0.02245911562822306,1.8671052260338892,0.06557824747365212,0.22577532991241553,0.2051211792563536,0.09506076626864575,0.11036447589565719,14326
PDXK,-0.09734430592381904,-0.1198061320359156,0.02246182611209656,1.9139937995251506,0.058818399136523924,0.21086012105986462,0.16497502242651257,0.08999473196274894,0.1386216573560478,14327
JUND,-0.11974609872298236,-0.1422092840996053,0.022463185376622924,1.3242936139452697,0.18908284069263062,0.4233700896309947,0.13416616739397247,0.132942496846463,0.16942642940368283,14328
